Jahr;Monat;Kalenderwoche;Startdatum Woche;Tag-Nr.;Wochentag;Sterbedatum;Anzahl Männer 0-64;Anzahl Männer 65+;Anzahl Frauen 0-64;Anzahl Frauen 65+;Anzahl Gestorbene total
2008;7;30;2008-07-21;208;Sa;2008-07-26;1;4;0;5;10
2020;2;6;2020-02-03;40;So;2020-02-09;1;1;0;3;5
2018;9;36;2018-09-03;248;Mi;2018-09-05;0;2;1;4;7
2017;8;32;2017-08-07;219;Mo;2017-08-07;0;0;0;1;1
2019;4;14;2019-04-01;93;Mi;2019-04-03;0;0;1;4;5
2010;8;34;2010-08-23;236;Di;2010-08-24;2;2;0;3;7
2005;9;36;2005-09-05;251;Do;2005-09-08;1;2;0;3;6
2016;8;31;2016-08-01;220;So;2016-08-07;0;2;1;3;6
2019;2;6;2019-02-04;36;Di;2019-02-05;0;1;0;3;4
2020;5;20;2020-05-11;135;Do;2020-05-14;1;3;0;0;4
2012;4;14;2012-04-02;99;So;2012-04-08;1;3;0;4;8
2019;7;29;2019-07-15;202;So;2019-07-21;0;2;0;2;4
2005;5;20;2005-05-16;142;So;2005-05-22;0;1;0;1;2
2020;8;32;2020-08-03;218;Mi;2020-08-05;2;2;0;3;7
2006;4;17;2006-04-24;115;Di;2006-04-25;0;1;1;2;4
2008;1;3;2008-01-14;18;Fr;2008-01-18;1;2;0;0;3
2014;11;47;2014-11-17;324;Do;2014-11-20;0;3;0;1;4
2005;10;39;2005-09-26;275;So;2005-10-02;1;3;3;1;8
2008;9;37;2008-09-08;258;So;2008-09-14;1;2;1;1;5
2016;1;1;2016-01-04;4;Mo;2016-01-04;1;1;0;2;4
2013;1;5;2013-01-28;28;Mo;2013-01-28;1;4;0;4;9
2017;10;43;2017-10-23;299;Do;2017-10-26;0;3;0;4;7
2011;12;49;2011-12-05;342;Do;2011-12-08;1;0;0;3;4
2018;8;35;2018-08-27;241;Mi;2018-08-29;0;2;0;5;7
2017;11;47;2017-11-20;325;Di;2017-11-21;0;1;0;1;2
2012;11;45;2012-11-05;315;Sa;2012-11-10;0;3;0;0;3
2017;1;2;2017-01-09;14;Sa;2017-01-14;0;1;0;9;10
2010;6;23;2010-06-07;160;Mi;2010-06-09;0;2;0;6;8
2010;11;44;2010-11-01;305;Mo;2010-11-01;0;4;0;3;7
2015;3;10;2015-03-02;62;Di;2015-03-03;1;2;0;7;10
2021;1;2;2021-01-11;12;Di;2021-01-12;1;3;0;4;8
2017;1;4;2017-01-23;26;Do;2017-01-26;0;1;0;4;5
2008;3;10;2008-03-03;68;Sa;2008-03-08;1;0;0;6;7
2005;8;32;2005-08-08;225;Sa;2005-08-13;0;0;0;2;2
2013;2;8;2013-02-18;52;Do;2013-02-21;0;2;0;0;2
2016;7;28;2016-07-11;194;Di;2016-07-12;2;1;2;1;6
2012;7;30;2012-07-23;208;Do;2012-07-26;1;2;0;3;6
2013;12;52;2013-12-23;363;So;2013-12-29;0;2;0;6;8
2005;11;44;2005-10-31;308;Fr;2005-11-04;0;3;0;3;6
2011;10;42;2011-10-17;292;Mi;2011-10-19;0;1;0;1;2
2016;10;40;2016-10-03;277;Mo;2016-10-03;0;2;0;1;3
2013;9;38;2013-09-16;263;Fr;2013-09-20;0;0;0;3;3
2007;3;11;2007-03-12;71;Mo;2007-03-12;0;0;0;6;6
2007;8;34;2007-08-20;237;Sa;2007-08-25;1;5;0;1;7
2018;2;6;2018-02-05;42;So;2018-02-11;0;0;0;1;1
2019;8;33;2019-08-12;228;Fr;2019-08-16;0;1;0;0;1
2005;9;37;2005-09-12;258;Do;2005-09-15;2;1;0;1;4
2020;5;19;2020-05-04;127;Mi;2020-05-06;0;1;0;1;2
2015;10;41;2015-10-05;280;Mi;2015-10-07;1;2;0;2;5
2018;9;37;2018-09-10;255;Mi;2018-09-12;0;2;0;1;3
2014;5;21;2014-05-19;141;Mi;2014-05-21;0;1;0;3;4
2017;7;29;2017-07-17;199;Di;2017-07-18;0;0;0;4;4
2017;10;41;2017-10-09;282;Mo;2017-10-09;2;1;4;4;11
2007;2;9;2007-02-26;59;Mi;2007-02-28;1;8;0;3;12
2010;3;9;2010-03-01;60;Mo;2010-03-01;0;3;0;3;6
2008;9;38;2008-09-15;260;Di;2008-09-16;0;0;0;3;3
2007;1;3;2007-01-15;21;So;2007-01-21;1;2;0;0;3
2012;3;13;2012-03-26;89;Do;2012-03-29;0;1;0;5;6
2010;10;41;2010-10-11;288;Fr;2010-10-15;0;1;2;6;9
2008;6;26;2008-06-23;177;Mi;2008-06-25;0;1;2;1;4
2007;9;38;2007-09-17;261;Di;2007-09-18;0;1;0;2;3
2016;11;46;2016-11-14;322;Do;2016-11-17;1;6;0;1;8
2008;6;24;2008-06-09;165;Fr;2008-06-13;1;3;1;2;7
2019;5;18;2019-04-29;121;Mi;2019-05-01;0;3;0;1;4
2018;5;18;2018-04-30;122;Mi;2018-05-02;0;1;0;2;3
2014;4;17;2014-04-21;117;So;2014-04-27;0;3;0;3;6
2016;1;2;2016-01-11;11;Mo;2016-01-11;0;3;0;6;9
2014;2;6;2014-02-03;34;Mo;2014-02-03;0;3;0;3;6
2021;1;1;2021-01-04;4;Mo;2021-01-04;0;4;1;4;9
2016;6;25;2016-06-20;177;Sa;2016-06-25;0;3;0;2;5
2015;3;10;2015-03-02;64;Do;2015-03-05;0;3;0;2;5
2011;6;24;2011-06-13;166;Mi;2011-06-15;0;4;0;3;7
2006;8;34;2006-08-21;238;Sa;2006-08-26;0;3;1;3;7
2020;7;27;2020-06-29;184;Do;2020-07-02;0;0;1;1;2
2010;10;42;2010-10-18;295;Fr;2010-10-22;0;1;0;4;5
2005;7;26;2005-06-27;182;Fr;2005-07-01;2;1;0;5;8
2012;2;8;2012-02-20;56;Sa;2012-02-25;2;1;1;4;8
2017;1;3;2017-01-16;16;Mo;2017-01-16;1;3;2;9;15
2007;8;33;2007-08-13;230;Sa;2007-08-18;1;3;0;3;7
2018;4;17;2018-04-23;115;Mi;2018-04-25;0;0;0;4;4
2016;2;6;2016-02-08;44;Sa;2016-02-13;0;2;0;0;2
2018;7;29;2018-07-16;198;Di;2018-07-17;2;1;0;5;8
2014;7;29;2014-07-14;198;Do;2014-07-17;0;2;1;3;6
2012;12;51;2012-12-17;355;Do;2012-12-20;0;2;0;4;6
2019;12;49;2019-12-02;337;Di;2019-12-03;0;2;0;4;6
2005;12;52;2005-12-26;360;Mo;2005-12-26;2;1;1;2;6
2012;9;39;2012-09-24;272;Fr;2012-09-28;0;1;0;6;7
2005;5;19;2005-05-09;132;Do;2005-05-12;1;1;0;1;3
2006;2;7;2006-02-13;48;Fr;2006-02-17;1;2;0;4;7
2005;2;7;2005-02-14;49;Fr;2005-02-18;0;2;0;2;4
2010;2;5;2010-02-01;34;Mi;2010-02-03;0;2;0;2;4
2011;2;5;2011-01-31;33;Mi;2011-02-02;1;1;0;3;5
2018;3;10;2018-03-05;65;Di;2018-03-06;0;1;1;3;5
2009;4;16;2009-04-13;106;Do;2009-04-16;0;1;0;3;4
2008;4;16;2008-04-14;108;Do;2008-04-17;0;2;0;3;5
2010;9;37;2010-09-13;262;So;2010-09-19;4;3;1;5;13
2006;6;26;2006-06-26;181;Fr;2006-06-30;0;4;1;4;9
2008;7;28;2008-07-07;191;Mi;2008-07-09;0;2;1;3;6
2019;10;44;2019-10-28;304;Do;2019-10-31;1;0;0;1;2
2008;1;4;2008-01-21;25;Fr;2008-01-25;0;1;1;2;4
2009;1;4;2009-01-19;23;Fr;2009-01-23;0;4;2;7;13
2014;1;2;2014-01-06;8;Mi;2014-01-08;0;2;1;2;5
2019;1;3;2019-01-14;19;Sa;2019-01-19;1;0;0;3;4
2006;7;31;2006-07-31;212;Mo;2006-07-31;0;1;0;8;9
2007;9;39;2007-09-24;268;Di;2007-09-25;0;2;1;3;6
2019;11;48;2019-11-25;330;Di;2019-11-26;0;4;0;1;5
2011;1;4;2011-01-24;26;Mi;2011-01-26;1;3;0;6;10
2010;2;8;2010-02-22;53;Mo;2010-02-22;1;1;0;1;3
2019;4;15;2019-04-08;102;Fr;2019-04-12;0;4;0;2;6
2013;5;20;2013-05-13;137;Fr;2013-05-17;0;2;0;4;6
2014;7;28;2014-07-07;193;Sa;2014-07-12;0;1;1;3;5
2018;5;19;2018-05-07;129;Mi;2018-05-09;2;1;1;2;6
2008;11;47;2008-11-17;324;Mi;2008-11-19;0;1;0;5;6
2014;4;16;2014-04-14;110;So;2014-04-20;0;5;0;4;9
2011;12;52;2011-12-26;364;Fr;2011-12-30;0;3;0;0;3
2016;1;3;2016-01-18;18;Mo;2016-01-18;0;1;0;4;5
2011;11;47;2011-11-21;325;Mo;2011-11-21;1;1;0;3;5
2008;6;23;2008-06-02;158;Fr;2008-06-06;1;2;0;2;5
2020;11;47;2020-11-16;324;Do;2020-11-19;0;1;0;3;4
2019;5;21;2019-05-20;141;Di;2019-05-21;1;0;0;0;1
2013;2;7;2013-02-11;42;Mo;2013-02-11;1;2;0;4;7
2012;10;43;2012-10-22;298;Mi;2012-10-24;2;0;3;6;11
2006;1;3;2006-01-16;22;So;2006-01-22;0;1;0;3;4
2021;1;3;2021-01-18;23;Sa;2021-01-23;1;5;0;3;9
2013;11;47;2013-11-18;327;Sa;2013-11-23;0;2;0;3;5
2014;8;35;2014-08-25;243;So;2014-08-31;0;4;1;4;9
2008;5;20;2008-05-12;134;Di;2008-05-13;0;1;0;1;2
2019;6;22;2019-05-27;152;Sa;2019-06-01;0;1;0;2;3
2016;10;40;2016-10-03;279;Mi;2016-10-05;0;6;0;1;7
2010;11;46;2010-11-15;319;Mo;2010-11-15;2;1;0;3;6
2007;10;40;2007-10-01;280;So;2007-10-07;0;1;1;6;8
2008;2;8;2008-02-18;51;Mi;2008-02-20;2;0;0;5;7
2020;10;42;2020-10-12;286;Mo;2020-10-12;1;6;0;3;10
2018;11;48;2018-11-26;331;Di;2018-11-27;1;4;0;1;6
